lastName,firstName,country,univ
Aguiar,Ademar,Portugal,University of Porto
Ahmad,Muhammad Ovais,Sweden,Karlstad University
Almeida,Fernando,Portugal,ISPGAYA & INESC TEC
Bagnato,Alessandra,France,Softeam
Barata,João,Portugal,University of Coimbra
Behutiye,Woubshet,Finland,University of Oulu
Buchalcevova,Alena,Czechia,University of Economics
Buchmann,Robert Andrei,Romania,Babeș-Bolyai University of Cluj Napoca
Chmielarz,Witold,Poland,University of Warsaw; Faculty of Management
Derezinska,Anna,Poland,"Institute of Computer Science, Warsaw University of Technology"
Dutta,Arpita,Singapore,National University of Singapore
Francillette,Yannick,Canada,UQAC
Gregory,Peggy,United Kingdom,University of Glasgow
Guerra,Eduardo,Brazil,Free University of Bolzen-Bolzano
Heng,Samedi,Belgium,UCLouvain
Herda,Tomas,Austria,Austrian Post
Herold,Sebastian,Sweden,"Karlstad University, Department of Computer Science"
Hryniów,Krzysztof,Poland,Warsaw University of Technology
Janes,Andrea,Italy,Free University of Bozen-Bolzano
Kapitsaki,Georgia,Cyprus,University of Cyprus
Katic,Marija,Serbia,"School of Computing, Union University, Belgrade, Serbia"
Kopczynska,Sylwia,Poland,Poznan University of Technology
Kropp,Martin,Switzerland,University of Applied Sciences and Arts Northwestern Switzerland
Kucharski,Maciej,Poland,Gdańsk University of Technology
Lopez,Lidia,Spain,Universitat Politècnica de Catalunya
Luković,Ivan,Serbia,"University of Belgrade, Faculty of Organizational Sciences"
Lunesu,Ilaria,Italy,University of Cagliari
Mangalaraj,George,United States,Western Illinois University
Marcinkowski,Bartosz,Poland,University of Gdansk
Marek,Krzysztof,Poland,Warsaw University of Technology
Maślankowski,Jacek,Poland,University of Gdańsk
Melegati,Jorge,Italy,Free University of Bozen-Bolzano
Miler,Jakub,Poland,Gdansk University of Technology
Mishra,Alok,Turkey,"Atilim University, Incek 06836, Ankara - Turkey"
Misra,Sanjay,Norway,Institute For Energy Technology
Moalagh,Morteza,Norway,Norwegian University of Science and Technology
Morales Trujillo,Miguel Ehécatl,New Zealand,University of Canterbury
Muszyńska,Karolina,Poland,University of Szczecin
Münch,Jürgen,Germany,Reutlingen University
Neumann,Michael,Germany,University of Applied Sciences and Arts Hannover
Ng,Yen Ying,Poland,Nicolaus Copernicus University in Toruń
Obwegeser,Nikolaus,Switzerland,Bern University of Applied Sciences
Ochodek,Mirosław,Poland,Poznan University of Technology
Oriol,Marc,Spain,Universitat Politècnica de Catalunya
Ozkan,Necmettin,Turkey,Gebze Technical University
Özcan Top,Özden,Turkey,"Information Systems, Middle East Technical University, Ankara, Turkey"
Pereira,Rui Humberto,Portugal,ISCAP/IPP
Perkusich,Angelo,Brazil,"Electrical Engineering Department, Federal University of Campina Grande"
Perkusich,Mirko,Brazil,VIRTUS
Pinna,Andrea,Italy,Università di Cagliari
Pohl,Matthias,Germany,Otto-von-Guericke-Universität Magdeburg
Poniszewska-Maranda,Aneta,Poland,"Institute of Information Technology, Lodz University of Technology"
Poth,Alexander,Germany,Volkswagen AG
Przybylek,Michal,Poland,Warsaw University
Puthenpurackal Chakko,Joseph,India,Wells Fargo
Ramsin,Raman,Iran,Sharif University of Technology
Ristic,Sonja,Serbia,"University of Novi Sad, Faculty of Technical Sciences"
Rossi,Bruno,Czechia,Masaryk University
Salin,Hannes,Sweden,Swedish Transport Administration
Schön,Eva-Maria,Germany,University of Applied Sciences Emden/Leer
Senapathi,Mali,New Zealand,Auckland University of Technology
Silva,Alberto,Portugal,Universidade de Lisboa
Silva da Silva,Tiago,Brazil,ICT/UNIFESP - Universidade Federal de São Paulo - Instituto de Ciência e Tecnologia
Smialek,Michal,Poland,Warsaw University of Technology
Souza,Érica,Brazil,UTFPR
Sołtysik-Piorunkiewicz,Anna,Poland,University of Economics in Katowice
Spichkova,Maria,Australia,RMIT University
Staegemann,Daniel,Germany,Otto-von-Guericke University Magdeburg
Strode,Diane,New Zealand,"Visiting Research Fellow, The Open University UK"
Swacha,Jakub,Poland,University of Szczecin
Sánchez-Gordón,Mary,Norway,Østfold University College
Theobald,Sven,Germany,Fraunhofer IESE
Tobisch,Franziska,Germany,TUM
Tsilionis,Konstantinos,Netherlands,Eindhoven University of Technology
Tuncel,Doruk,Germany,Siemens AG
Utz,Wilfrid,Germany,OMILAB gGmbH
Vara,Juan Manuel,Spain,"Computer Science & Statistics, Universidad Rey Juan Carlos"
Vranić,Valentino,Slovakia,Pan-European University
Wautelet,Yves,Belgium,Katholieke Universiteit Leuven
Wiedemann,Anna,Switzerland,Bern University of Applied Sciences
Wojnicka-Sycz,Elzbieta,Poland,University of Gdansk
